,Neighbourhood Cleansed,Bedrooms,Beds,Price,Number of Reviews,Review Scores Rating,classes of rating,class of price,predictors
354,Hell's Kitchen,1,1,98,20,92,Low,Bad,"[('n04033995', 'quilt', 0.8496916), ('n04344873', 'studio_couch', 0.054889753), ('n03388549', 'four-poster', 0.029327601), ('n04550184', 'wardrobe', 0.0084987795), ('n03201208', 'dining_table', 0.005241032), ('n04239074', 'sliding_door', 0.0049621994), ('n03938244', 'pillow', 0.0037195433), ('n04442312', 'toaster', 0.0036562595), ('n04209239', 'shower_curtain', 0.0034688811), ('n02870880', 'bookcase', 0.0025440282)]"
358,Hell's Kitchen,1,1,119,9,82,Low,Good,"[('n04033995', 'quilt', 0.781643), ('n04344873', 'studio_couch', 0.18504293), ('n03388549', 'four-poster', 0.0143205635), ('n03788365', 'mosquito_net', 0.0057098917), ('n04590129', 'window_shade', 0.0034612862), ('n04239074', 'sliding_door', 0.0034133743), ('n04550184', 'wardrobe', 0.001588778), ('n04201297', 'shoji', 0.0012537048), ('n03938244', 'pillow', 0.00093330437), ('n04099969', 'rocking_chair', 0.00035265507)]"
360,Hell's Kitchen,1,2,170,3,100,High,Good,"[('n03388549', 'four-poster', 0.7386992), ('n04344873', 'studio_couch', 0.13202469), ('n04033995', 'quilt', 0.11477299), ('n03788365', 'mosquito_net', 0.00816717), ('n04550184', 'wardrobe', 0.0019067042), ('n04590129', 'window_shade', 0.00090836984), ('n03938244', 'pillow', 0.0005816239), ('n03131574', 'crib', 0.0003470125), ('n03887697', 'paper_towel', 0.00033769978), ('n04209239', 'shower_curtain', 0.00025691703)]"
367,Hell's Kitchen,1,1,108,31,96,High,Bad,"[('n03388549', 'four-poster', 0.8328402), ('n04550184', 'wardrobe', 0.07910529), ('n04033995', 'quilt', 0.047070935), ('n04344873', 'studio_couch', 0.03383854), ('n04239074', 'sliding_door', 0.0020387857), ('n03788365', 'mosquito_net', 0.0013428379), ('n04201297', 'shoji', 0.0009529578), ('n04590129', 'window_shade', 0.0006557702), ('n04493381', 'tub', 0.00053152454), ('n02808440', 'bathtub', 0.00041347233)]"
378,Hell's Kitchen,1,2,219,0,92.5,Low,Good,"[('n03388549', 'four-poster', 0.5287835), ('n04033995', 'quilt', 0.20478432), ('n04201297', 'shoji', 0.11643315), ('n04344873', 'studio_couch', 0.0862534), ('n04239074', 'sliding_door', 0.048376113), ('n03788365', 'mosquito_net', 0.007249745), ('n04590129', 'window_shade', 0.0039551435), ('n04550184', 'wardrobe', 0.0016087507), ('n03131574', 'crib', 0.001227012), ('n03938244', 'pillow', 0.00012662918)]"
410,Harlem,1,1,50,37,92,Low,Bad,"[('n03388549', 'four-poster', 0.6164343), ('n04239074', 'sliding_door', 0.049234733), ('n04099969', 'rocking_chair', 0.047303494), ('n03899768', 'patio', 0.027080074), ('n03201208', 'dining_table', 0.026403038), ('n03018349', 'china_cabinet', 0.023088403), ('n04330267', 'stove', 0.021332785), ('n04550184', 'wardrobe', 0.017859278), ('n03179701', 'desk', 0.016326709), ('n04590129', 'window_shade', 0.016316392)]"
419,Harlem,1,1,60,32,96,High,Bad,"[('n04033995', 'quilt', 0.8631686), ('n03388549', 'four-poster', 0.0954949), ('n04344873', 'studio_couch', 0.030927323), ('n03938244', 'pillow', 0.004938363), ('n04590129', 'window_shade', 0.00083065894), ('n03788365', 'mosquito_net', 0.0006885098), ('n04239074', 'sliding_door', 0.00045597384), ('n04380533', 'table_lamp', 0.00025104894), ('n04525038', 'velvet', 0.00022274183), ('n03018349', 'china_cabinet', 0.00021654367)]"
455,Upper East Side,1,1,150,23,91,Low,Good,"[('n03388549', 'four-poster', 0.52690244), ('n04344873', 'studio_couch', 0.21012247), ('n04033995', 'quilt', 0.1122753), ('n04550184', 'wardrobe', 0.09366069), ('n03529860', 'home_theater', 0.007880693), ('n04239074', 'sliding_door', 0.0075291744), ('n03788365', 'mosquito_net', 0.0065164296), ('n04590129', 'window_shade', 0.004419037), ('n04553703', 'washbasin', 0.0036476932), ('n02808440', 'bathtub', 0.0036062074)]"
467,Washington Heights,0,1,110,0,92.27,Low,Bad,"[('n03388549', 'four-poster', 0.6598194), ('n04344873', 'studio_couch', 0.2688866), ('n04033995', 'quilt', 0.05064806), ('n04239074', 'sliding_door', 0.0070207473), ('n03788365', 'mosquito_net', 0.00309352), ('n04550184', 'wardrobe', 0.0022957125), ('n03938244', 'pillow', 0.0022932265), ('n04590129', 'window_shade', 0.0016196455), ('n03529860', 'home_theater', 0.0008451867), ('n04201297', 'shoji', 0.0006370891)]"
473,Washington Heights,1,1,42,34,89,Low,Bad,"[('n03388549', 'four-poster', 0.80518484), ('n03788365', 'mosquito_net', 0.06691115), ('n04344873', 'studio_couch', 0.060059365), ('n04033995', 'quilt', 0.033513647), ('n04380533', 'table_lamp', 0.014533853), ('n03201208', 'dining_table', 0.0067435782), ('n04590129', 'window_shade', 0.004200926), ('n03637318', 'lampshade', 0.0033972445), ('n04550184', 'wardrobe', 0.0009044906), ('n02699494', 'altar', 0.0008024056)]"
474,Washington Heights,2,2,200,0,92.27,Low,Good,"[('n03388549', 'four-poster', 0.9377475), ('n04344873', 'studio_couch', 0.026839398), ('n04550184', 'wardrobe', 0.011581093), ('n04033995', 'quilt', 0.007867647), ('n03016953', 'chiffonier', 0.0057278485), ('n02870880', 'bookcase', 0.0036668018), ('n03014705', 'chest', 0.0011114684), ('n03788365', 'mosquito_net', 0.001044884), ('n04239074', 'sliding_door', 0.0008099951), ('n03127925', 'crate', 0.00041353027)]"
